ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
d7235e57f09c2507b63642d0ae91cd1f532b08cd87410ab6db291f87edc0f32a,https://www.snap.com/political-ads/asset/92a4a4b4f3474db48444b9d7dd3e51d532cc1d86cdf00be3dc5a536bcf770b78?mediaType=mp4,EUR,743,475861,2023/03/06 06:00:12Z,2023/04/02 20:59:00Z,Httpool,"Litostrojska cesta 52,Ljubljana,1000,SI",,JHL,,,,,,18+,finland,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.jhl.fi/ajankohtaista/teemat/eduskuntavaalit-2023-jhln-tavoitteena-taloudellisesti-ja-sosiaalisesti-kestava-suomi/?utm_source=snapchat&utm_medium=paidsocial&utm_campaign=jhl_eduskuntavaalikampanja_kev%C3%A4t_2023&utm_content=V3
4f7a170bda3b1f842291f6449bf2653fe49b35a2235cb426ff211fedc20d50dd,https://www.snap.com/political-ads/asset/4aa0c2180e308970c9e3e10d2feaa1d40b871adb9308cdb2bc412c387db613ee?mediaType=mp4,USD,2968,251232,2023/01/20 22:00:06Z,2023/04/01 03:59:00Z,"American Civil Liberties Union, Inc.","125 Broad St., 18th Floor,New York,10004,US",,American Civil Liberties Union,,,,,,18+,united states,,,,,,,"New York,Los Angeles,Chicago,Dallas - Ft. Worth,Houston,Washington,Philadelphia,Atlanta,Miami - Ft. Lauderdale,Phoenix (prescott),Boston (manchester),San Francisco - Oakland - San Jose,Detroit,Seattle - Tacoma,Minneapolis - St. Paul",,,,,,"Political News Watchers,TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Network Viewers (BBC America),TV Viewers (News)",,Provided by Advertiser,en,,,,web_view_url:https://www.aclu.org/news/reproductive-freedom/the-future-attacks-abortion-gender-affirming-care-lgbtq-rights?utm_source=sc&utm_medium=pm&utm_campaign={{campaign.name}}&utm_content={{adSet.name}}-{{creative.name}}&utm_term=pm-{{adSet.id}}-{{ad.id}}&initms_aff=nat&initms_chan=pm&initms={{campaign.name}}-{{adSet.name}}-{{creative.name}}&ms_aff=nat&ms_chan=pm&ms={{campaign.name}}-{{adSet.name}}-{{creative.name}}
f2da6925ec0930df2ed59714e6e2920bf58c79239f95d142032bceacbe2446f0,https://www.snap.com/political-ads/asset/6fa322b541bb1a796b1e55dfa8e8781acf857d1d21b5b52ad67a54aa1b58fee8?mediaType=jpg,USD,444,58531,2023/02/22 19:03:03Z,2023/04/11 03:59:59Z,Wavelength Strategy,US,,MSEA,,,,,,18+,united states,Maryland,,,,,,,,,,,,,,,,,,,web_view_url:https://marylandeducators.org/support-paid-teaching-internships-and-addressing-the-educator-shortage/?utm_source=snapchat&utm_content=2023leg&utm_medium=paid
a06afe10f6979999d27f56f3a108d3ff4665e3b586c98acacfbe62f7988cd189,https://www.snap.com/political-ads/asset/e9f5cedd44d8a48df8f75c59fc0e12da4764e100e682068e18df91ab99b385c9?mediaType=png,EUR,1065,335417,2023/02/28 23:00:00Z,2023/03/08 22:59:00Z,Provincie Utrecht,NL,,Provincie Utrecht,,,,,,18-35,netherlands,Utrecht,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://kiesjouwutrecht.nl/?utm_source=snapchat&utm_medium=social&utm_campaign=olifantmedia-provstatenverkiezingen&utm_content=isis
7593849c129581adff91428e1cb895ed1f00f7a28a580973a12fb4ae56ab4b49,https://www.snap.com/political-ads/asset/7888f20ada4b746d2e60d732cc151ff3f9726d2883e456ee344dca8a9d116ba3?mediaType=mp4,EUR,28,6404,2023/03/01 14:16:57Z,,Volkspartij voor Vrijheid en Democratie,NL,,VVD,,,,,,18+,netherlands,,,,,,,,,,,,,"Business News Watchers,Political News Watchers",,Provided by Advertiser,nl,,,,web_view_url:https://www.vvd.nl/nieuws/wij-doen-wat-nodig-is/?utm_source=SC&utm_campaign=breed&utm_content=Politie
36669f1b7260b3fb2628c1538a962e4e3d14030c9ce15c5ee1c1565dd172399f,https://www.snap.com/political-ads/asset/51fd2514b72a2f6bef6f162ce7af0175bd06eb4c5179c5f831face232958242f?mediaType=mp4,USD,296,119888,2023/01/18 08:48:31Z,2023/02/19 10:59:00Z,Rainmakers MSA,"5 Eglon Street, Parnell,Auckland,1052,NZ",,New Zealand National Party,,,,,,18-24,new zealand,Hawkes Bay,,,,,,"Auckland,Dunedin,Hamilton,Palmerston North,Rotorua,Tauranga,Wellington,Christchurch",,,,,,,,Provided by Advertiser,,,,,
4bf3942b3db3db7482e74a61db6f1dcc811df9b61e60a8848f4a7eb763ce73df,https://www.snap.com/political-ads/asset/df2669133aa9f7188d06119850ade33800c5551f3f2e54df5b4378355ceff6ce?mediaType=mp4,USD,1106,41772,2023/01/20 22:00:06Z,2023/04/01 03:59:00Z,"American Civil Liberties Union, Inc.","125 Broad St., 18th Floor,New York,10004,US",,American Civil Liberties Union,,,,,,18+,united states,,,,,,,"New York,Los Angeles,Chicago,Dallas - Ft. Worth,Houston,Washington,Philadelphia,Atlanta,Miami - Ft. Lauderdale,Phoenix (prescott),Boston (manchester),San Francisco - Oakland - San Jose,Detroit,Seattle - Tacoma,Minneapolis - St. Paul",,,,,,"Political News Watchers,TV Network Viewers (CNN),TV Network Viewers (MSNBC),TV Network Viewers (BBC America),TV Viewers (News)",,Provided by Advertiser,en,,,,web_view_url:https://www.aclu.org/news/lgbtq-rights/brandt-v-rutledge-what-to-know-about-the-arkansas-trial?utm_source=sc&utm_medium=pm&utm_campaign={{campaign.name}}&utm_content={{adSet.name}}-{{creative.name}}&utm_term=pm-{{adSet.id}}-{{ad.id}}&initms_aff=nat&initms_chan=pm&initms={{campaign.name}}-{{adSet.name}}-{{creative.name}}&ms_aff=nat&ms_chan=pm&ms={{campaign.name}}-{{adSet.name}}-{{creative.name}}
a1682159ff2bb067a2eea473c91f4d5ce821f3f7f8e590e57145222d0c66b6b0,https://www.snap.com/political-ads/asset/d7123a30dc62ddf17148d346ea9136231cae6b114a71b503df4a3d688ed47ca3?mediaType=mp4,USD,616,194115,2021/12/21 22:42:23Z,2023/04/01 03:59:00Z,"M&R Strategic Services, Inc.","1901 L St NW,Washington,20036,US",,Fight for $15,,,,,,16+,united states,,,,,,,,,,,,,"Foodies,Money Minders,Political News Watchers,Advocates & Activists,Sports Fans,Gamers,Film & TV Fans,Shoppers,American Football Fans",,,,,,,web_view_url:https://action.fightfor15.org/a/starbucks-petition-1?ms=2021-12-USA-FF15-AD-SC-LG-INT-FMMPNW-SR&sourceid=1011900
750941880e2a4b99229d348cb8f9bb17ca8b9898617d26c49e35fb44b9ebe2ff,https://www.snap.com/political-ads/asset/59638277421838981903cfe003852167eabc420e2aade18a7596e65137066ffb?mediaType=mp4,USD,250,33058,2023/01/18 22:49:07Z,2023/01/26 07:59:07Z,Patagonia,"235 W Santa Clara St,Ventura,93001,US",,Patagonia,,,,,,,united states,Maine,,,,,,,,,,,,"Advocates & Activists,Outdoor & Nature Enthusiasts",,Provided by Advertiser,,,,,web_view_url:https://nrcm.salsalabs.org/2023legpriorities/index.html
2bf9ec4b71f9b74aa390478740843368b5bcbcf98cecf7f75b080689aa5f4d3a,https://www.snap.com/political-ads/asset/fa02d284192fcd461e6883cca4cb86f52f1e319ce326ba4b02e5f3d3c91b3d04?mediaType=jpeg,USD,2500,137751,2023/01/24 21:00:00Z,2023/01/30 22:59:00Z,Color Of Change,"1714 Franklin St,Oakland,94612,US",,Color Of Change,,,,,,,united states,,,,,,,,,,,,,"Advocates & Activists,Bookworms & Avid Readers,Collegiates,News Watchers,Parents & Family-Focused,Women's Lifestyle",,Provided by Advertiser,,,,,web_view_url:https://www.youtube.com/watch?v=kq_MJprK0ig
